Origin, Inside
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-company-contract-resource-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-company-contract-resource-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-resource-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-companycontractresourcetype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/companycontracttasktype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-task-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-company-contract-task-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-company-contract-task-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-task-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-companycontracttasktype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/customfield
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-list-item-name
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-customfield
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/customfieldset
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-set-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-custom-field-set
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-custom-field-set-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-set-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-customfieldset
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/customfieldvalue
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-value-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-custom-field-value
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-custom-field-value-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-field-value-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-customfieldvalue
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/customitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-item-search
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-custom-item
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-custom-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-custom-item-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-customitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-department-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-department-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-department
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/errorstatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-error-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-error-status-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-error-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-error-status-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-errorstatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/expensecode
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-expense-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-invoice-expense-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-invoice-time-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list-active-time-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-expense-code
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-expense-code-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-code-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-expensecode
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/expenseentry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-entry-project-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-entry-search
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-entry-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-expense-entry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-entry-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-expenseentry
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/expensereport
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-expense-report-id-mark-downloaded
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-report-search
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-report-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-report-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-expensereport
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/expensereportfile
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-report-file-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-expense-report-file-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-expensereportfile
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/externalobject
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-list-by-map-external-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-list-by-map-external-idlist
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-list-by-map-internal-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-list-by-map-internal-idlist
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-external-object
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-external-object-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-external-object-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-externalobject
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/fileitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-children-itemid
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-download-file-fileid
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-version-download-file-fileid-version
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-search
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-file-item
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-file-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-fileitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/fileitemversion
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-version-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-file-item-version-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-fileitemversion
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/folder
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-folder-child-folders-folderid
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-folder-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-folder
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-folder-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-folder-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-folder
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/group
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-group-list-communicate
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-group-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-group-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-group
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-group-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-group-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-group
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/htmlpage
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-html-page-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-html-page
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-html-page-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-html-page-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-htmlpage
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/integrationdefinition
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-definition-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-definition-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-integration-definition
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-integration-definition-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-definition-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-integrationdefinition
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/integrationfieldmap
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-field-map-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-integration-field-map
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-integration-field-map-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-field-map-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-integrationfieldmap
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/integrationobjectmap
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-object-map-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-integration-object-map
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-integration-object-map-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-integration-object-map-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-integrationobjectmap
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/invoiceitemclassification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-invoice-item-classification-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-invoice-item-classification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-invoice-item-classification-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-invoice-item-classification-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-invoiceitemclassification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/issue
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue-update-issue-status
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-search
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-issue-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-issue
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/issueprioritytype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-priority-type-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-priority-type-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-priority-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue-priority-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-issue-priority-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-priority-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-issueprioritytype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/issueseveritytype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-severity-type-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-severity-type-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-severity-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue-severity-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-issue-severity-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-severity-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-issueseveritytype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/issuestatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-status-type-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-status-type-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue-status-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-issue-status-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-status-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-issuestatustype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/issuetype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-type-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-type-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-issue-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-issue-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-issue-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-issuetype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/itembacklog
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-item-backlog-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-backlog
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-item-backlog-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-item-backlog-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-itembacklog
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-utility-copy
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-utility-move
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-utility-hide
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-utility-unhide
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-item-utility-unhideall
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-itemutility
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/kanbanboard
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-project-work-status-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-kanban-board-task-status-column
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-kanban-board-task-status-swimlane
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-task-status-toggeled-columns
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-task-status-toggeled-swimlanes
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-task-status-more-cards-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-kanban-board
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-kanban-board-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-kanban-board-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-kanbanboard
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/kanbancard
